Purpose Code, Correct, Guess
RENTAL VAN, Travel, legal
PER DIEM, Administrative, legal
LODGING, Travel, administrative
GAS, Travel, administrative
MILEAGE, Travel, administrative
IN KIND STAFF, Administrative, media
PRINTING, Fundraising, polling
VOTER CONTACT MAIL, Field, fundraising
INKIND STAFF, Administrative, consulting
ONLINE ADVERTISING, Digital, media
WALK PACKETS, Field, administrative
POSTAGE, Administrative, fundraising
FLIERS, Media, fundraising
TRAVEL, Travel, administrative
STAFF TIME, Administrative, consulting
INKIND STAFF TRAVEL, Travel, administrative
RENTAL CAR, Travel, administrative
MAILING, Field, fundraising
PHONE BANKING, Field, administrative
PHONE BANK, Field, administrative
INTERNET ADVERTISING, Digital, media
MAIL SERVICES, Administrative, fundraising
LIST RENTAL, Fundraising, polling
MAILHOUSE, Field, media
CANVASSERS, Field, consulting
MAILER, Administrative, fundraising
CAR RENTAL, Travel, administrative
DISTRIBUTION OF LITERATURE, Field, media
HOTEL, Travel, administrative
VAN RENTAL, Travel, legal
ONLINE ADVERTISING - ESTIMATE, Digital, media
DIGITAL ADVERTISING, Digital, media
DIGITAL MEDIA PRODUCTION/PLACEMENT, Digital, media
POSTCARDS, Administrative, fundraising
TV/MEDIA PRODUCTION, Media, administrative
INTERNET COMMUNICATIONS (FROM ADVANCE LINE 21), Digital, media
LITERATURE, Field, polling
TRAVEL EXPENSES, Travel, administrative
VOTER MAIL, Field, fundraising
TV/MEDIA PLACEMENT, Media, fundraising
TELEPHONE CALLS, Administrative, field
GRAPHIC ART DESIGN, Digital, media
FLIGHT, Travel, administrative
